prefName,tradeNames,drugType,label,targetName,approvedSymbol,targetClass,mechanismOfAction
CONIVAPTAN,[],Small molecule,cardiovascular disease,"Vasopressin V1a receptor, Vasopressin V2 receptor","AVPR1A, AVPR2",Membrane receptor,"Vasopressin V1a receptor antagonist, Vasopressin V2 receptor antagonist"
CONIVAPTAN HYDROCHLORIDE,['Vaprisol'],Small molecule,heart failure,"Vasopressin V1a receptor, Vasopressin V2 receptor","AVPR1A, AVPR2",Membrane receptor,"Vasopressin V1a receptor antagonist, Vasopressin V2 receptor antagonist"
COPANLISIB,[],Small molecule,neoplasm,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform, Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform","PIK3CA, PIK3CD",Enzyme,"PI3-kinase p110-alpha subunit inhibitor, PI3-kinase p110-delta subunit inhibitor"
COPANLISIB HYDROCHLORIDE,['Aliqopa'],Small molecule,"follicular lymphoma, neoplasm of mature B-cells","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform, Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform","PIK3CA, PIK3CD",Enzyme,"PI3-kinase p110-alpha subunit inhibitor, PI3-kinase p110-delta subunit inhibitor"
CORIFOLLITROPIN ALFA,['Elonva'],Protein,positive regulation of ovulation,Follicle-stimulating hormone receptor,FSHR,Membrane receptor,Follicle stimulating hormone receptor agonist
CORTICOTROPIN,"['Acth' 'Acthar' 'Acthar gel' 'Acthar gel (autoinjector)'
 'Adrenocorticotropin' 'Adrenomone' 'Corticotropin' 'H.p. acthar gel'
 'Purified cortrophin gel']",Unknown,"infantile spasms, multiple sclerosis",Adrenocorticotropic hormone receptor,MC2R,Membrane receptor,Melanocortin receptor 2 agonist
CORTISONE ACETATE,['Cortate' 'Cortelan' 'Cortisone acetate' 'Cortistab' 'Cortisyl' 'Cortone'],Small molecule,"Aplastic anemia, Hypercalcemia, Iridocyclitis, Peptic ulcer, Stevens-Johnson syndrome, Thrombocytopenia, allergic disease, asthma, atopic eczema, autoimmune thrombocytopenic purpura, classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, congenital adrenal hyperplasia, contact dermatitis, dermatitis herpetiformis, dermatomyositis, enteritis, erythema multiforme, exfoliative dermatitis, eye inflammation, frozen shoulder, gout, hemolytic anemia, iritis, juvenile idiopathic arthritis, lateral epicondylitis, leukemia, lymphoma, meningeal tuberculosis, nephrotic syndrome, ophthalmic herpes zoster, osteoarthritis, pneumonia, polymyositis, posterior uveitis, primary adrenal insufficiency, psoriatic arthritis, pulmonary tuberculosis, rheumatoid arthritis, seborrheic dermatitis, subacute thyroiditis, sympathetic ophthalmia, synovitis, systemic lupus erythematosus, tenosynovitis",Glucocorticoid receptor,NR3C1,Transcription factor,Glucocorticoid receptor agonist
CRISABOROLE,['Eucrisa' 'Staquis'],Small molecule,"Eczematoid dermatitis, atopic eczema",Phosphodiesterase 4,"PDE4A, PDE4B, PDE4C, PDE4D",Enzyme,Phosphodiesterase 4 inhibitor
CRIZANLIZUMAB,['Adakveo'],Antibody,sickle cell disease,P-selectin,SELP,Adhesion,P-selectin blocker
CRIZOTINIB,['Xalkori'],Small molecule,"neoplasm, non-small cell lung carcinoma","EML4-ALK, Hepatocyte growth factor receptor, NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor)","ALK, EML4, MET, NPM1","Enzyme, Other nuclear protein, Unclassified protein","EML4-ALK inhibitor, Hepatocyte growth factor receptor inhibitor, NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor"
CROFELEMER,['Fulyzaq' 'Mytesi' 'Provir' 'Virend'],Small molecule,Diarrhea,"Anoctamin-1, Cystic fibrosis transmembrane conductance regulator","ANO1, CFTR","Ion channel, Unclassified protein","Anoctamin-1 blocker, Cystic fibrosis transmembrane conductance regulator inhibitor"
CYCLIZINE,[],Small molecule,allergic disease,Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
CYCLOBENZAPRINE HYDROCHLORIDE,['Amrix' 'Cyclobenzaprine hydrochloride' 'Flexeril'],Small molecule,"Muscle spasm, Myalgia, Spasticity, cerebral palsy, spinal cord disease","5-hydroxytryptamine receptor 2A, 5-hydroxytryptamine receptor 2C","HTR2A, HTR2C",Membrane receptor,"Serotonin 2a (5-HT2a) receptor antagonist, Serotonin 2c (5-HT2c) receptor antagonist"
CYCLOPENTOLATE HYDROCHLORIDE,"['Ak-pentolate' 'Akpentolate' 'Alnide' 'Cyclogyl'
 'Cyclopentolate hydrochloride'
 'Cyclopentolate hydrochloride component of cyclomydril' 'Mydrilate'
 'Pentolair']",Small molecule,Mydriasis,Muscarinic acetylcholine receptor M3,CHRM3,Membrane receptor,Muscarinic acetylcholine receptor M3 antagonist
CYCLOSPORINE,"['Capimune' 'Capsorin' 'Cequa' 'Cyclosporine' 'Deximune' 'Gengraf'
 'Ikervis' 'Neoral' 'Optimmune' 'Restasis' 'Restasis multidose'
 'Sandimmun' 'Sandimmune' 'Sangcya' 'Vanquoral' 'Verkazia' 'Vevye']",Protein,"corneal disease, eye disease, immune system disease, inflammation, keratitis, keratoconjunctivitis, psoriasis, rheumatoid arthritis",Peptidyl-prolyl cis-trans isomerase A,PPIA,Enzyme,Cyclophilin A modulator
CYCLOTHIAZIDE,['Anhydron' 'Fluidil'],Small molecule,cardiovascular disease,Solute carrier family 12 member 3,SLC12A3,Transporter,Thiazide-sensitive sodium-chloride cotransporter inhibitor
CYPROHEPTADINE,[],Small molecule,allergic disease,Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
CYPROHEPTADINE HYDROCHLORIDE,['Cyproheptadine hydrochloride' 'Cyproheptadine hydrocloride' 'Periactin'],Small molecule,"allergic conjunctivitis, seasonal allergic rhinitis, urticaria",Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
CYTARABINE,"['Alexan' 'Alexan 100' 'Cytarabine' 'Cytarabine component of vyxeos'
 'Cytosar' 'Cytosar-u' 'Depocyt' 'Depocyte' 'Tarabine pfs']",Small molecule,"acute lymphoblastic leukemia, acute myeloid leukemia, leptomeningeal metastasis, lymphoid leukemia, meningeal neoplasm, neoplasm",DNA polymerase (alpha/delta/epsilon),"POLA1, POLA2, POLD1, POLD2, POLD3, POLD4, POLE, POLE2, POLE3, PRIM1, PRIM2","Enzyme, Unclassified protein",DNA polymerase (alpha/delta/epsilon) inhibitor
DABIGATRAN ETEXILATE,['Pradaxa' 'Prazaxa'],Small molecule,Recurrent thrombophlebitis,Prothrombin,F2,Enzyme,Thrombin inhibitor
DABIGATRAN ETEXILATE MESYLATE,"['Dabigatran etexilate accord' 'Dabigatran etexilate leon farma' 'Pradaxa'
 'Pradaxa (dabigatran etexilate mesylate)']",Small molecule,"atrial fibrillation, deep vein thrombosis, pulmonary embolism, stroke, total joint arthroplasty, venous thromboembolism",Prothrombin,F2,Enzyme,Thrombin inhibitor
DABRAFENIB,['Tafinlar'],Small molecule,neoplasm,Serine/threonine-protein kinase B-raf,BRAF,"Enzyme, Unclassified protein",Serine/threonine-protein kinase B-raf inhibitor
DABRAFENIB MESYLATE,['Finlee' 'Tafinlar'],Small molecule,"melanoma, metastatic melanoma",Serine/threonine-protein kinase B-raf,BRAF,"Enzyme, Unclassified protein",Serine/threonine-protein kinase B-raf inhibitor
DACLIZUMAB,['Zenapax' 'Zinbryta'],Antibody,"immune system disease, multiple sclerosis, relapsing-remitting multiple sclerosis",Interleukin-2 receptor,IL2RA,Membrane receptor,Interleukin-2 receptor inhibitor
DACOMITINIB,['Vizimpro'],Small molecule,"neoplasm, non-small cell lung carcinoma","Epidermal growth factor receptor, Receptor tyrosine-protein kinase erbB-2, Receptor tyrosine-protein kinase erbB-4","EGFR, ERBB2, ERBB4","Enzyme, Unclassified protein","Epidermal growth factor receptor erbB1 inhibitor, Receptor protein-tyrosine kinase erbB-2 inhibitor, Receptor protein-tyrosine kinase erbB-4 inhibitor"
DALFAMPRIDINE,['Ampyra' 'Ampyra extended release' 'Fampridine accord' 'Fampyra'],Small molecule,multiple sclerosis,Voltage-gated potassium channel,"KCNA1, KCNA10, KCNA2, KCNA3, KCNA4, KCNA5, KCNA6, KCNA7, KCNB1, KCNB2, KCNC1, KCNC2, KCNC3, KCNC4, KCND1, KCND2, KCND3, KCNF1, KCNG1, KCNG2, KCNG3, KCNG4, KCNH1, KCNH2, KCNH3, KCNH4, KCNH5, KCNH6, KCNH7, KCNH8, KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5, KCNS1, KCNS2, KCNS3, KCNV1, KCNV2","Ion channel, Transporter",Voltage-gated potassium channel blocker
DALTEPARIN SODIUM,['Fragmin' 'Low liquemine'],Oligosaccharide,"Recurrent thrombophlebitis, Venous thrombosis, deep vein thrombosis, venous thromboembolism",Antithrombin-III,SERPINC1,Secreted protein,Antithrombin-III activator
DAMOCTOCOG ALFA PEGOL,['Jivi'],Protein,hemophilia A,Coagulation factor VIII,F8,"Enzyme, Secreted protein",Coagulation factor VIII exogenous protein
DANAPAROID SODIUM,['Orgaran'],Unknown,Recurrent thrombophlebitis,Antithrombin-III,SERPINC1,Secreted protein,Antithrombin-III activator
DANAZOL,['Danazol' 'Danocrine'],Small molecule,"breast fibrocystic disease, endometriosis","Androgen receptor, Progesterone receptor","AR, PGR","Transcription factor, Unclassified protein","Androgen Receptor agonist, Progesterone receptor agonist"
DANTHRON,['Dorbane' 'Istizin'],Small molecule,Constipation,Retinoic acid receptor RXR-alpha,RXRA,Transcription factor,Retinoid X receptor alpha antagonist
DANTROLENE SODIUM,['Agilus' 'Dantrium' 'Dantrolene sodium' 'Revonto' 'Ryanodex'],Small molecule,"Fever, Spasticity, cerebral palsy, multiple sclerosis, spinal cord injury, stroke","Ryanodine receptor 1, Ryanodine receptor 3","RYR1, RYR3",Ion channel,"Ryanodine receptor 1 antagonist, Ryanodine receptor 3 antagonist"
DAPAGLIFLOZIN,"['Dapagliflozin component of br1019' 'Dapagliflozin component of qtern'
 'Dapagliflozin component of qternmet'
 'Dapagliflozin component of qternmet  dapaglifozin'
 'Dapagliflozin component of qternmet xr' 'Dapagliflozin viatris']",Small molecule,"chronic kidney disease, diabetes mellitus, heart failure, type 2 diabetes mellitus",Sodium/glucose cotransporter 2,SLC5A2,Transporter,Sodium/glucose cotransporter 2 inhibitor
DAPAGLIFLOZIN PROPANEDIOL,"['Dapagliflozin propanediol component of xigduo' 'Edistride' 'Farxiga'
 'Forxiga']",Small molecule,"heart failure, type 2 diabetes mellitus",Sodium/glucose cotransporter 2,SLC5A2,Transporter,Sodium/glucose cotransporter 2 inhibitor
DAPIPRAZOLE,[],Small molecule,glaucoma,Alpha-1A adrenergic receptor,ADRA1A,Membrane receptor,Alpha-1a adrenergic receptor antagonist
DAPIPRAZOLE HYDROCHLORIDE,['Dapiprazole hydrochloride' 'Rev-eyes'],Small molecule,"Mydriasis, open-angle glaucoma",Alpha-1A adrenergic receptor,ADRA1A,Membrane receptor,Alpha-1a adrenergic receptor antagonist
DAPRODUSTAT,['Jesduvroq'],Small molecule,"anemia, anemia (phenotype), chronic kidney disease",Hypoxia-inducible factor prolyl hydroxylase,"EGLN1, EGLN2, EGLN3, P4HTM",Enzyme,Hypoxia-inducible factor prolyl hydroxylase inhibitor
DARATUMUMAB,['Daratumumab component of darzalex faspro' 'Darzalex'],Antibody,"multiple myeloma, neoplasm",ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,CD38,Enzyme,Lymphocyte differentiation antigen CD38 inhibitor
DARBEPOETIN ALFA,['Aranesp' 'Aranesp sureclick' 'Nespo'],Protein,"anemia, anemia (phenotype), cancer, chronic kidney disease",Erythropoietin receptor,EPOR,Membrane receptor,Erythropoietin receptor agonist
DARIDOREXANT HYDROCHLORIDE,['Quviviq'],Small molecule,insomnia,"Orexin receptor type 2, Orexin/Hypocretin receptor type 1","HCRTR1, HCRTR2",Membrane receptor,"Orexin receptor 1 antagonist, Orexin receptor 2 antagonist"
DARIFENACIN,[],Small molecule,"Polyuria, Urinary incontinence","Muscarinic acetylcholine receptor M2, Muscarinic acetylcholine receptor M3","CHRM2, CHRM3",Membrane receptor,"Muscarinic acetylcholine receptor M2 antagonist, Muscarinic acetylcholine receptor M3 antagonist"
DARIFENACIN HYDROBROMIDE,['Darifenacin hydrobromide' 'Emselex' 'Enablex'],Small molecule,"overactive bladder, urgency urinary incontinence","Muscarinic acetylcholine receptor M2, Muscarinic acetylcholine receptor M3","CHRM2, CHRM3",Membrane receptor,"Muscarinic acetylcholine receptor M2 antagonist, Muscarinic acetylcholine receptor M3 antagonist"
DAROLUTAMIDE,['Nubeqa'],Small molecule,"neoplasm, prostate cancer, prostate neoplasm",Androgen receptor,AR,Transcription factor,Androgen Receptor antagonist
DASATINIB ANHYDROUS,['Dasatinib accord' 'Dasatinib accordpharma'],Small molecule,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive, acute lymphoblastic leukemia, chronic myelogenous leukemia, lymphoid leukemia, neoplasm","Bcr/Abl fusion protein, Ephrin type-A receptor 2, Mast/stem cell growth factor receptor Kit, Platelet-derived growth factor receptor beta, SRC, Tyrosine-protein kinase ABL1","ABL1, BCR, BLK, EPHA2, FGR, FRK, FYN, HCK, KIT, LCK, LYN, PDGFRB, SRC, SRMS, YES1","Enzyme, Other cytosolic protein, Unclassified protein","Bcr/Abl fusion protein inhibitor, Ephrin type-A receptor 2 inhibitor, Platelet-derived growth factor receptor beta inhibitor, SRC inhibitor, Stem cell growth factor receptor inhibitor, Tyrosine-protein kinase ABL inhibitor"
DASIGLUCAGON HYDROCHLORIDE,['Zegalogue' 'Zegalogue (autoinjector)'],Protein,"Hypoglycemia, type 1 diabetes mellitus",Glucagon receptor,GCGR,Membrane receptor,Glucagon receptor agonist
DAUNORUBICIN,['Daunorubicin component of vyxeos' 'Daunoxome'],Small molecule,"acute myeloid leukemia, neoplasm",DNA topoisomerase 2-alpha,TOP2A,Enzyme,DNA topoisomerase II alpha inhibitor
DAUNORUBICIN HYDROCHLORIDE,['Cerubidine' 'Daunorubicin hydrochloride'],Small molecule,lymphoid leukemia,DNA topoisomerase 2-alpha,TOP2A,Enzyme,DNA topoisomerase II alpha inhibitor
DAXIBOTULINUMTOXINA,['Daxxify'],Unknown,skin aging,Synaptosomal-associated protein 25,SNAP25,Other cytosolic protein,Synaptosomal nerve-associated protein 25 (SNAP-25) inhibitor
DEBRISOQUIN,[],Small molecule,hypertension,Sodium-dependent noradrenaline transporter,SLC6A2,Transporter,Norepinephrine transporter inhibitor
DECITABINE,"['Dacogen' 'Decitabine' 'Decitabine component of astx-727'
 'Decitabine component of astx727' 'Decitabine component of inqovi']",Small molecule,"anemia, chronic myelomonocytic leukemia, myelodysplastic syndrome, myeloid leukemia, neoplasm, refractory anemia with excess blasts","DNA (cytosine-5)-methyltransferase 1, DNA (cytosine-5)-methyltransferase 3A","DNMT1, DNMT3A",Epigenetic regulator,"DNA (cytosine-5)-methyltransferase 1 inhibitor, DNA (cytosine-5)-methyltransferase 3A inhibitor"
DEFIBROTIDE SODIUM,['Defitelio'],Oligonucleotide,hepatic veno-occlusive disease,Plasminogen,PLG,Enzyme,Plasminogen activator
DEFLAZACORT,['Calcort' 'Emflaza' 'Zamene'],Small molecule,"Duchenne muscular dystrophy, muscular dystrophy",Glucocorticoid receptor,NR3C1,Transcription factor,Glucocorticoid receptor agonist
DEGARELIX ACETATE,['Degarelix accord' 'Firmagon'],Protein,"prostate cancer, prostate carcinoma",Gonadotropin-releasing hormone receptor,GNRHR,Membrane receptor,Gonadotropin-releasing hormone receptor antagonist
DEMECARIUM,[],Small molecule,glaucoma,Acetylcholinesterase,ACHE,Enzyme,Acetylcholinesterase inhibitor
DENILEUKIN DIFTITOX,['Ontak'],Protein,"Cutaneous T-cell lymphoma, neoplasm","Elongation factor 2, Interleukin-2 receptor","EEF2, IL2RA, IL2RB","Membrane receptor, Other cytosolic protein","Elongation factor 2 inhibitor, Interleukin-2 receptor binding agent"
DENOSUMAB,"['Jubbonti' 'Prolia' 'Prolia, ranmark xgeva' 'Prolia, xgeva' 'Wyost'
 'Xgeva']",Antibody,"Hypercalcemia, bone disease, bone metastasis, bone resorption disease, breast cancer, giant cell tumor, metastasis, osteoporosis, postmenopausal osteoporosis",Tumor necrosis factor ligand superfamily member 11,TNFSF11,Secreted protein,Tumor necrosis factor ligand superfamily member 11 inhibitor
DESERPIDINE,"['Deserpidine component of enduronyl'
 'Deserpidine component of oreticyl forte' 'Harmonyl']",Small molecule,hypertension,Synaptic vesicular amine transporter,SLC18A2,Transporter,Synaptic vesicular amine transporter inhibitor
DESIPRAMINE,[],Small molecule,"depressive disorder, major depressive disorder",Sodium-dependent noradrenaline transporter,SLC6A2,Transporter,Norepinephrine transporter inhibitor
DESIRUDIN,['Iprivask' 'Revasc'],Protein,"Recurrent thrombophlebitis, Venous thrombosis, deep vein thrombosis",Prothrombin,F2,Enzyme,Thrombin inhibitor
DESLANOSIDE,['Cedilanid-d'],Small molecule,cardiovascular disease,Sodium/potassium-transporting ATPase,"ATP1A1, ATP1A2, ATP1A3, ATP1A4","Enzyme, Transporter",Sodium/potassium-transporting ATPase inhibitor
DESLORATADINE,"['Aerius' 'Allex' 'Azomyr' 'Clarinex' 'Dasselta' 'Desloratadine'
 'Desloratadine actavis'
 'Desloratadine actavis (authorized: rhinitis, urticaria)'
 'Desloratadine component of clarinex-d' 'Desloratadine ratiopharm'
 'Desloratadine ratiopharm (authorized: rhinitis, urticaria)'
 'Desloratadine teva'
 'Desloratadine teva (authorized: rhinitis, urticaria)' 'Midetorin'
 'Neoclarityn' 'Opulis']",Small molecule,"Rhinitis, Allergic, Perennial, allergic disease, allergic rhinitis, seasonal allergic rhinitis, urticaria",Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
DESMOPRESSIN ACETATE,"['Concentraid' 'Ddavp' 'Ddavp (needs no refrigeration)' 'Desmomelt'
 'Desmopressin acetate' 'Desmopressin acetate (needs no refrigeration)'
 'Desmopressin acetate preservative free' 'Desmospray' 'Desmotabs'
 'Minirin' 'Nocdurna' 'Noctiva' 'Nocutil' 'Noqdirna' 'Octim' 'Octostim'
 'Presinex' 'Stimate' 'Stimate (needs no refrigeration)']",Protein,"Central diabetes insipidus, Nasal congestion, diabetes insipidus, enuresis, head injury, hemorrhage, von Willebrand disease (hereditary or acquired)",Vasopressin receptor,"AVPR1A, AVPR1B, AVPR2",Membrane receptor,Vasopressin receptor agonist
DESONIDE,"['Desonate' 'Desonide' 'Desonide component of tridesilon' 'Desowen'
 'Tridesilon' 'Verdeso']",Small molecule,"atopic eczema, eye inflammation, skin disease",Glucocorticoid receptor,NR3C1,Transcription factor,Glucocorticoid receptor agonist
DESOXIMETASONE,"['Desoximetasone' 'Stiedex' 'Stiedex lp' 'Stiedex lpn' 'Topicort'
 'Topicort lp']",Small molecule,"psoriasis, psoriasis vulgaris, skin disease",Glucocorticoid receptor,NR3C1,Transcription factor,Glucocorticoid receptor agonist
DESVENLAFAXINE,['Desvenlafaxine' 'Khedezla'],Small molecule,"depressive disorder, major depressive disorder","Sodium-dependent noradrenaline transporter, Sodium-dependent serotonin transporter","SLC6A2, SLC6A4",Transporter,"Norepinephrine transporter inhibitor, Serotonin transporter inhibitor"
DESVENLAFAXINE SUCCINATE,['Desvenlafaxine succinate' 'Pristiq'],Small molecule,major depressive disorder,"Sodium-dependent noradrenaline transporter, Sodium-dependent serotonin transporter","SLC6A2, SLC6A4",Transporter,"Norepinephrine transporter inhibitor, Serotonin transporter inhibitor"
DEUCRAVACITINIB,['Sotyktu'],Small molecule,"psoriasis, psoriasis vulgaris",Non-receptor tyrosine-protein kinase TYK2,TYK2,Enzyme,Tyrosine-protein kinase TYK2 negative allosteric modulator
DEUTETRABENAZINE,['Austedo' 'Austedo xr'],Small molecule,"Huntington disease, chorea",Synaptic vesicular amine transporter,SLC18A2,Transporter,Synaptic vesicular amine transporter inhibitor
DEXAMETHASONE,"['Aeroseb-dex' 'Decaderm' 'Decadron' 'Decadron-75' 'Decaspray' 'Dexa-sine'
 'Dexacortal' 'Dexacortin' 'Dexacortisyl' 'Dexafree' 'Dexamethasone'
 'Dexamethasone component of ciprodex'
 'Dexamethasone component of dexacidin'
 'Dexamethasone component of dexasporin'
 'Dexamethasone component of maxitrol'
 'Dexamethasone component of tobradex'
 'Dexamethasone component of tobradex st' 'Dexamethasone intensol'
 'Dexamonozon' 'Dexapos' 'Dexasite' 'Dexasone' 'Dexone' 'Dexone 0.5'
 'Dexone 0.75' 'Dexone 1.5' 'Dexone 4' 'Dexsol' 'Dextenza' 'Dexycu kit'
 'Dropodex' 'Fortecortin' 'Gppe ear spy' 'Hemady' 'Hexadrol' 'Isopto-dex'
 'Kortico injection' 'Loverine' 'Luxazone' 'Martapan' 'Maxidex' 'Maxitrol'
 'Oradexon' 'Otomize' 'Ozurdex' 'Sofradex' 'Spersadex comp' 'Tobradex']",Small molecule,"Aplastic anemia, Chorioretinitis, Corneal scarring, Crohn's disease, Herpes simplex infection, Hypercalcemia, Iridocyclitis, Nasal congestion, Peptic ulcer, Stevens-Johnson syndrome, Thrombocytopenia, acne, adrenal gland disease, adrenal gland hyperfunction, allergic conjunctivitis, allergic rhinitis, ankylosing spondylitis, asthma, atopic eczema, autoimmune thrombocytopenic purpura, cancer, choroiditis, classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, congenital adrenal hyperplasia, contact dermatitis, dermatitis, dermatitis herpetiformis, diabetic retinopathy, eosinophilic pneumonia, erythema multiforme, exfoliative dermatitis, eye inflammation, frozen shoulder, gout, hemolytic anemia, hemorrhoid, infection, inflammation, iritis, juvenile idiopathic arthritis, keratitis, lateral epicondylitis, leukemia, lymphoma, macular retinal edema, meningeal tuberculosis, multiple sclerosis, mycosis fungoides, myocarditis, neoplasm, nephrotic syndrome, ophthalmic herpes zoster, optic neuritis, osteoarthritis, pemphigus vulgaris, pneumonia, posterior uveitis, primary adrenal insufficiency, psoriasis, psoriatic arthritis, pulmonary tuberculosis, rheumatoid arthritis, sarcoidosis, seasonal allergic rhinitis, seborrheic dermatitis, subacute thyroiditis, sympathetic ophthalmia, synovitis, systemic lupus erythematosus, tenosynovitis, trichinosis, type III hypersensitivity reaction disease, ulcerative colitis, uveitis",Glucocorticoid receptor,NR3C1,Transcription factor,Glucocorticoid receptor agonist
